SOURCE: https://www.nist.gov/document/2018-04-16frameworkv11core1xlsx
NORMALIZED_UTC: 2026-03-10T05:36:43.459038+00:00
FRAMEWORK: nist_csf

ID.AM-1 | Function: IDENTIFY (ID) | Category: Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy. | Outcome: ID.AM-1: Physical devices and systems within the organization are inventoried | References: · CIS CSC 1
ID.RA-3 | Function:  | Category:  | Outcome: ID.RA-3: Threats, both internal and external, are identified and documented | References: · CIS CSC 4
ID.RA-4 | Function:  | Category:  | Outcome: ID.RA-4: Potential business impacts and likelihoods are identified | References: · CIS CSC 4
ID.RA-5 | Function:  | Category:  | Outcome: ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk | References: · CIS CSC 4
ID.RA-6 | Function:  | Category:  | Outcome: ID.RA-6: Risk responses are identified and prioritized | References: · CIS CSC 4
ID.RM-1 | Function:  | Category: Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions. | Outcome: ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders | References: · CIS CSC 4
ID.RM-2 | Function:  | Category:  | Outcome: ID.RM-2: Organizational risk tolerance is determined and clearly expressed | References: · COBIT 5 APO12.06
ID.RM-3 | Function:  | Category:  | Outcome: ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis | References: · COBIT 5 APO12.02
ID.SC-1 | Function:  | Category: Supply Chain Risk Management (ID.SC): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks. | Outcome: ID.SC-1: Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders | References: · CIS CSC 4
ID.SC-2 | Function:  | Category:  | Outcome: ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process | References: · COBIT 5 APO10.01, APO10.02, APO10.04, APO10.05, APO12.01, APO12.02, APO12.03, APO12.04, APO12.05, APO12.06, APO13.02, BAI02.03
ID.SC-3 | Function:  | Category:  | Outcome: ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan. | References: · COBIT 5 APO10.01, APO10.02, APO10.03, APO10.04, APO10.05
ID.SC-4 | Function:  | Category:  | Outcome: ID.SC-4: Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations. | References: · COBIT 5 APO10.01, APO10.03, APO10.04, APO10.05, MEA01.01, MEA01.02, MEA01.03, MEA01.04, MEA01.05
ID.SC-5 | Function:  | Category:  | Outcome: ID.SC-5: Response and recovery planning and testing are conducted with suppliers and third-party providers | References: · CIS CSC 19, 20
PR.AC-1 | Function: PROTECT (PR) | Category: Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions. | Outcome: PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes | References: · CIS CSC 1, 5, 15, 16
PR.AC-2 | Function:  | Category:  | Outcome: PR.AC-2: Physical access to assets is managed and protected | References: · COBIT 5 DSS01.04, DSS05.05
PR.AC-3 | Function:  | Category:  | Outcome: PR.AC-3: Remote access is managed | References: · CIS CSC 12
PR.AC-4 | Function:  | Category:  | Outcome: PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties | References: · CIS CSC 3, 5, 12, 14, 15, 16, 18
PR.AC-5 | Function:  | Category:  | Outcome: PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation) | References: · CIS CSC 9, 14, 15, 18
PR.AC-6 | Function:  | Category:  | Outcome: PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions | References: · CIS CSC, 16
PR.AC-7 | Function:  | Category:  | Outcome: PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks) | References: · CIS CSC 1, 12, 15, 16
PR.AT-1 | Function:  | Category: Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements. | Outcome: PR.AT-1: All users are informed and trained | References: · CIS CSC 17, 18
PR.AT-2 | Function:  | Category:  | Outcome: PR.AT-2: Privileged users understand their roles and responsibilities | References: · CIS CSC 5, 17, 18
PR.AT-3 | Function:  | Category:  | Outcome: PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities | References: · CIS CSC 17
PR.AT-4 | Function:  | Category:  | Outcome: PR.AT-4: Senior executives understand their roles and responsibilities | References: · CIS CSC 17, 19
PR.AT-5 | Function:  | Category:  | Outcome: PR.AT-5: Physical and cybersecurity personnel understand their roles and responsibilities | References: · CIS CSC 17
PR.DS-1 | Function:  | Category: Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information. | Outcome: PR.DS-1: Data-at-rest is protected | References: · CIS CSC 13, 14
PR.DS-2 | Function:  | Category:  | Outcome: PR.DS-2: Data-in-transit is protected | References: · CIS CSC 13, 14
PR.DS-3 | Function:  | Category:  | Outcome: PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition | References: · CIS CSC 1
PR.DS-4 | Function:  | Category:  | Outcome: PR.DS-4: Adequate capacity to ensure availability is maintained | References: · CIS CSC 1, 2, 13
PR.DS-5 | Function:  | Category:  | Outcome: PR.DS-5: Protections against data leaks are implemented | References: · CIS CSC 13
PR.DS-6 | Function:  | Category:  | Outcome: PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity | References: · CIS CSC 2, 3
PR.DS-7 | Function:  | Category:  | Outcome: PR.DS-7: The development and testing environment(s) are separate from the production environment | References: · CIS CSC 18, 20
PR.DS-8 | Function:  | Category:  | Outcome: PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity | References: · COBIT 5 BAI03.05
PR.IP-1 | Function:  | Category: Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets. | Outcome: PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality) | References: · CIS CSC 3, 9, 11
PR.IP-2 | Function:  | Category:  | Outcome: PR.IP-2: A System Development Life Cycle to manage systems is implemented | References: · CIS CSC 18
PR.IP-3 | Function:  | Category:  | Outcome: PR.IP-3: Configuration change control processes are in place | References: · CIS CSC 3, 11
PR.IP-4 | Function:  | Category:  | Outcome: PR.IP-4: Backups of information are conducted, maintained, and tested | References: · CIS CSC 10
PR.IP-5 | Function:  | Category:  | Outcome: PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met | References: · COBIT 5 DSS01.04, DSS05.05
PR.IP-6 | Function:  | Category:  | Outcome: PR.IP-6: Data is destroyed according to policy | References: · COBIT 5 BAI09.03, DSS05.06
PR.IP-7 | Function:  | Category:  | Outcome: PR.IP-7: Protection processes are improved | References: · COBIT 5 APO11.06, APO12.06, DSS04.05
PR.IP-8 | Function:  | Category:  | Outcome: PR.IP-8: Effectiveness of protection technologies is shared | References: · COBIT 5 BAI08.04, DSS03.04
PR.IP-9 | Function:  | Category:  | Outcome: PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed | References: · CIS CSC 19
PR.IP-10 | Function:  | Category:  | Outcome: PR.IP-10: Response and recovery plans are tested | References: · CIS CSC 19, 20
PR.IP-11 | Function:  | Category:  | Outcome: PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening) | References: · CIS CSC 5, 16
PR.IP-12 | Function:  | Category:  | Outcome: PR.IP-12: A vulnerability management plan is developed and implemented | References: · CIS CSC 4, 18, 20
PR.MA-1 | Function:  | Category: Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures. | Outcome: PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools | References: · COBIT 5 BAI03.10, BAI09.02, BAI09.03, DSS01.05
PR.MA-2 | Function:  | Category:  | Outcome: PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access | References: · CIS CSC 3, 5
PR.PT-1 | Function:  | Category: Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements. | Outcome: PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy | References: · CIS CSC 1, 3, 5, 6, 14, 15, 16
PR.PT-2 | Function:  | Category:  | Outcome: PR.PT-2: Removable media is protected and its use restricted according to policy | References: · CIS CSC 8, 13
PR.PT-3 | Function:  | Category:  | Outcome: PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities | References: · CIS CSC 3, 11, 14
PR.PT-4 | Function:  | Category:  | Outcome: PR.PT-4: Communications and control networks are protected | References: · CIS CSC 8, 12, 15
PR.PT-5 | Function:  | Category:  | Outcome: PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations | References: · COBIT 5 BAI04.01, BAI04.02, BAI04.03, BAI04.04, BAI04.05, DSS01.05
DE.AE-1 | Function: DETECT (DE) | Category: Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood. | Outcome: DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed | References: · CIS CSC 1, 4, 6, 12, 13, 15, 16
DE.AE-2 | Function:  | Category:  | Outcome: DE.AE-2: Detected events are analyzed to understand attack targets and methods | References: · CIS CSC 3, 6, 13, 15
DE.AE-3 | Function:  | Category:  | Outcome: DE.AE-3: Event data are collected and correlated from multiple sources and sensors | References: · CIS CSC 1, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16
DE.AE-4 | Function:  | Category:  | Outcome: DE.AE-4: Impact of events is determined | References: · CIS CSC 4, 6
DE.AE-5 | Function:  | Category:  | Outcome: DE.AE-5: Incident alert thresholds are established | References: · CIS CSC 6, 19
DE.CM-1 | Function:  | Category: Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures. | Outcome: DE.CM-1: The network is monitored to detect potential cybersecurity events | References: · CIS CSC 1, 7, 8, 12, 13, 15, 16
DE.CM-2 | Function:  | Category:  | Outcome: DE.CM-2: The physical environment is monitored to detect potential cybersecurity events | References: · COBIT 5 DSS01.04, DSS01.05
DE.CM-3 | Function:  | Category:  | Outcome: DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events | References: · CIS CSC 5, 7, 14, 16
DE.CM-4 | Function:  | Category:  | Outcome: DE.CM-4: Malicious code is detected | References: · CIS CSC 4, 7, 8, 12
DE.CM-5 | Function:  | Category:  | Outcome: DE.CM-5: Unauthorized mobile code is detected | References: · CIS CSC 7, 8
DE.CM-6 | Function:  | Category:  | Outcome: DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events | References: · COBIT 5 APO07.06, APO10.05
DE.CM-7 | Function:  | Category:  | Outcome: DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed | References: · CIS CSC 1, 2, 3, 5, 9, 12, 13, 15, 16
DE.CM-8 | Function:  | Category:  | Outcome: DE.CM-8: Vulnerability scans are performed | References: · CIS CSC 4, 20
DE.DP-1 | Function:  | Category: Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events. | Outcome: DE.DP-1: Roles and responsibilities for detection are well defined to ensure accountability | References: · CIS CSC 19
DE.DP-2 | Function:  | Category:  | Outcome: DE.DP-2: Detection activities comply with all applicable requirements | References: · COBIT 5 DSS06.01, MEA03.03, MEA03.04
DE.DP-3 | Function:  | Category:  | Outcome: DE.DP-3: Detection processes are tested | References: · COBIT 5 APO13.02, DSS05.02
DE.DP-4 | Function:  | Category:  | Outcome: DE.DP-4: Event detection information is communicated | References: · CIS CSC 19
DE.DP-5 | Function:  | Category:  | Outcome: DE.DP-5: Detection processes are continuously improved | References: · COBIT 5 APO11.06, APO12.06, DSS04.05
RS.RP-1 | Function: RESPOND (RS) | Category: Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents. | Outcome: RS.RP-1: Response plan is executed during or after an incident | References: · CIS CSC 19
RS.CO-1 | Function:  | Category: Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies). | Outcome: RS.CO-1: Personnel know their roles and order of operations when a response is needed | References: · CIS CSC 19
RS.CO-2 | Function:  | Category:  | Outcome: RS.CO-2: Incidents are reported consistent with established criteria | References: · CIS CSC 19
RS.CO-3 | Function:  | Category:  | Outcome: RS.CO-3: Information is shared consistent with response plans | References: · CIS CSC 19
RS.CO-4 | Function:  | Category:  | Outcome: RS.CO-4: Coordination with stakeholders occurs consistent with response plans | References: · CIS CSC 19
RS.CO-5 | Function:  | Category:  | Outcome: RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness | References: · CIS CSC 19
RS.AN-1 | Function:  | Category: Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities. | Outcome: RS.AN-1: Notifications from detection systems are investigated | References: · CIS CSC 4, 6, 8, 19
RS.AN-2 | Function:  | Category:  | Outcome: RS.AN-2: The impact of the incident is understood | References: · COBIT 5 DSS02.02
RS.AN-3 | Function:  | Category:  | Outcome: RS.AN-3: Forensics are performed | References: · COBIT 5 APO12.06, DSS03.02, DSS05.07
RS.AN-4 | Function:  | Category:  | Outcome: RS.AN-4: Incidents are categorized consistent with response plans | References: · CIS CSC 19
RS.AN-5 | Function:  | Category:  | Outcome: RS.AN-5: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers) | References: · CIS CSC 4, 19
RS.MI-1 | Function:  | Category: Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident. | Outcome: RS.MI-1: Incidents are contained | References: · CIS CSC 19
RS.MI-2 | Function:  | Category:  | Outcome: RS.MI-2: Incidents are mitigated | References: · CIS CSC 4, 19
RS.MI-3 | Function:  | Category:  | Outcome: RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks | References: · CIS CSC 4
RS.IM-1 | Function:  | Category: Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities. | Outcome: RS.IM-1: Response plans incorporate lessons learned | References: · COBIT 5 BAI01.13
RS.IM-2 | Function:  | Category:  | Outcome: RS.IM-2: Response strategies are updated | References: · COBIT 5 BAI01.13, DSS04.08
RC.RP-1 | Function: RECOVER (RC) | Category: Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents. | Outcome: RC.RP-1: Recovery plan is executed during or after a cybersecurity incident | References: · CIS CSC 10
RC.IM-1 | Function:  | Category: Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities. | Outcome: RC.IM-1: Recovery plans incorporate lessons learned | References: · COBIT 5 APO12.06, BAI05.07, DSS04.08
RC.IM-2 | Function:  | Category:  | Outcome: RC.IM-2: Recovery strategies are updated | References: · COBIT 5 APO12.06, BAI07.08
RC.CO-1 | Function:  | Category: Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g. coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors). | Outcome: RC.CO-1: Public relations are managed | References: · COBIT 5 EDM03.02
RC.CO-2 | Function:  | Category:  | Outcome: RC.CO-2: Reputation is repaired after an incident | References: · COBIT 5 MEA03.02
RC.CO-3 | Function:  | Category:  | Outcome: RC.CO-3: Recovery activities are communicated to internal and external stakeholders as well as executive and management teams | References: · COBIT 5 APO12.06
